Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1423,POCKET MONSTERS STADIUM,N64,1998.0,Strategy,Nintendo,0.0,0.0,1.37,0.0,1.37
1424,NBA 2K15,PS3,2014.0,Sports,Take-Two Interactive,0.86,0.27,0.02,0.22,1.36
1425,TOM CLANCY'S GHOST RECON 2,XB,2004.0,Shooter,Ubisoft,0.86,0.45,0.0,0.06,1.36
1426,CRASH BANDICOOT 2: N-TRANCED,GBA,2003.0,Platform,Vivendi Games,0.63,0.66,0.0,0.07,1.36
1427,BURNOUT PARADISE,X360,2008.0,Racing,Electronic Arts,0.63,0.58,0.01,0.15,1.36
1428,SINGSTAR ABBA,PS2,2008.0,Misc,Sony Computer Entertainment,0.23,0.04,0.0,1.09,1.36
1429,GRADIUS,NES,1986.0,Shooter,Konami Digital Entertainment,0.27,0.08,1.0,0.01,1.36
1430,DRAGON QUEST III: SOSHITE DENSETSU E...,SNES,1996.0,Role-Playing,Enix Corporation,0.0,0.0,1.36,0.0,1.36
1431,CENTIPEDE,2600,1981.0,Shooter,Atari,1.26,0.08,0.0,0.01,1.36
1432,YOSHI'S NEW ISLAND,3DS,2014.0,Platform,Nintendo,0.47,0.51,0.28,0.09,1.36
1433,RYSE: SON OF ROME,XOne,2013.0,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36
1434,DEAD TO RIGHTS,PS2,2002.0,Shooter,Electronic Arts,0.67,0.52,0.0,0.17,1.36
1435,LEGO HARRY POTTER: YEARS 5-7,Wii,,Action,Warner Bros. Interactive Entertainment,0.76,0.47,0.0,0.13,1.36
1436,MARVEL VS. CAPCOM 3: FATE OF TWO WORLDS,PS3,2011.0,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35
1437,DANCE DANCE REVOLUTION (JAPAN),PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,1.26,0.09,1.35
1438,F1 2010,PS3,2010.0,Racing,Codemasters,0.25,0.76,0.08,0.27,1.35
1439,MADDEN NFL 98,PS,1997.0,Sports,Electronic Arts,1.29,0.03,0.0,0.03,1.35
1440,FIFA SOCCER 09,PSP,2008.0,Sports,Electronic Arts,0.23,0.73,0.02,0.37,1.35
1441,NAMCO MUSEUM DS,DS,2007.0,Misc,Atari,1.18,0.01,0.06,0.09,1.35
1442,FIFA SOCCER 08,PSP,2007.0,Sports,Electronic Arts,0.2,0.76,0.0,0.39,1.35
1443,GRAND THEFT AUTO: CHINATOWN WARS,DS,2009.0,Action,Take-Two Interactive,0.59,0.57,0.05,0.14,1.35
1444,ALAN WAKE,X360,2010.0,Action,Microsoft Game Studios,0.66,0.51,0.05,0.13,1.35
1445,BATTLEFIELD: BAD COMPANY,PS3,2008.0,Shooter,Electronic Arts,0.76,0.36,0.05,0.18,1.35
1446,MORTAL KOMBAT X,XOne,2015.0,Fighting,Warner Bros. Interactive Entertainment,1.0,0.21,0.0,0.13,1.35
1447,SAMURAI WARRIORS,PS2,2004.0,Action,Electronic Arts,0.22,0.05,1.06,0.02,1.35
1448,THE SIMPSONS: HIT & RUN,XB,2003.0,Racing,Vivendi Games,0.7,0.58,0.0,0.07,1.35
1449,DEVIL MAY CRY 4,X360,2008.0,Action,Capcom,0.79,0.34,0.08,0.13,1.35
1450,TOM CLANCY'S RAINBOW SIX: VEGAS 2,PS3,2008.0,Shooter,Ubisoft,0.66,0.45,0.04,0.21,1.35
1451,MONSTER HUNTER FREEDOM,PSP,2005.0,Role-Playing,Capcom,0.24,0.04,1.03,0.04,1.35
1452,CRYSIS 2,X360,2011.0,Action,Electronic Arts,0.7,0.5,0.02,0.12,1.35
1453,SAGA FRONTIER,PS,1997.0,Role-Playing,SquareSoft,0.15,0.04,1.07,0.09,1.35
1454,SINGSTAR PARTY,PS2,2004.0,Misc,Sony Computer Entertainment,0.0,1.04,0.0,0.31,1.35
1455,FIFA SOCCER 08,X360,2007.0,Sports,Electronic Arts,0.31,0.89,0.01,0.14,1.35
1456,THE ICO & SHADOW OF THE COLOSSUS COLLECTION,PS3,2011.0,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35
1457,TEST DRIVE,PS2,2002.0,Racing,Atari,0.95,0.21,0.01,0.18,1.34
1458,MARIO & LUIGI: PARTNERS IN TIME,DS,2005.0,Role-Playing,Nintendo,0.77,0.07,0.43,0.08,1.34
1459,LOST PLANET: EXTREME CONDITION,X360,2006.0,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
1460,MORTAL KOMBAT 3,GEN,1994.0,Fighting,Acclaim Entertainment,1.03,0.27,0.0,0.04,1.34
1461,DOOM 3,XB,2005.0,Shooter,Activision,0.85,0.43,0.0,0.06,1.34
1462,DONKEY KONG JUNGLE BEAT,GC,2004.0,Platform,Nintendo,0.84,0.22,0.24,0.04,1.34
1463,NEED FOR SPEED CARBON,PS2,2006.0,Racing,Electronic Arts,1.22,0.05,0.05,0.01,1.34
1464,MAX PAYNE 2: THE FALL OF MAX PAYNE,PS2,2003.0,Shooter,Take-Two Interactive,0.65,0.51,0.0,0.17,1.34
1465,COMMAND & CONQUER: RED ALERT 2,PC,2000.0,Strategy,Electronic Arts,1.32,0.02,0.0,0.0,1.34
1466,MVP BASEBALL 2004,PS2,2004.0,Sports,Electronic Arts,1.1,0.06,0.0,0.18,1.34
1467,WWE SMACKDOWN VS RAW 2008,PS3,2007.0,Fighting,THQ,0.62,0.5,0.01,0.21,1.33
1468,RATCHET & CLANK: UP YOUR ARSENAL (WEEKLY AMERICAN SALES),PS2,2004.0,Platform,Sony Computer Entertainment,1.27,0.05,0.0,0.02,1.33
1469,YOUR SHAPE: FITNESS EVOLVED,X360,2010.0,Sports,Ubisoft,0.79,0.42,0.0,0.11,1.33
1470,RAGE,PS3,2011.0,Shooter,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33
1471,SKYLANDERS SWAP FORCE,X360,2013.0,Platform,Activision,0.86,0.36,0.0,0.11,1.33
1472,NBA 2K14,PS4,2013.0,Sports,Take-Two Interactive,0.89,0.31,0.01,0.12,1.33
1473,SPIDER-MAN: THE MOVIE,GBA,2002.0,Action,Activision,0.92,0.35,0.01,0.05,1.33
1474,WWF WAR ZONE,N64,1998.0,Fighting,Acclaim Entertainment,1.08,0.24,0.0,0.02,1.33
1475,TONY HAWK'S PRO SKATER,GB,2000.0,Sports,Activision,0.9,0.38,0.01,0.05,1.33
1476,THE SIMS: BUSTIN' OUT,GBA,2003.0,Simulation,Electronic Arts,0.93,0.35,0.0,0.06,1.33
1477,TRIPLE PLAY 2001,PS,2000.0,Sports,Electronic Arts,0.74,0.5,0.0,0.09,1.33
1478,METROID PRIME 2: ECHOES,GC,2004.0,Shooter,Nintendo,0.87,0.35,0.07,0.04,1.33
1479,UFC UNDISPUTED 2010,X360,2010.0,Fighting,THQ,0.9,0.31,0.0,0.11,1.33
1480,FINAL FANTASY X / X-2 HD REMASTER,PS3,2013.0,Role-Playing,Square Enix,0.43,0.4,0.32,0.18,1.33
1481,CORVETTE,PS2,2004.0,Racing,TDK Mediactive,0.65,0.51,0.0,0.17,1.33
1482,PETZ WILD ANIMALS: DOLPHINZ,DS,2007.0,Simulation,Ubisoft,0.71,0.48,0.0,0.13,1.33
1483,POKEMON RANGER: GUARDIAN SIGNS,DS,2010.0,Role-Playing,Nintendo,0.51,0.17,0.58,0.06,1.33
1484,MIDDLE-EARTH: SHADOW OF MORDOR,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,0.72,0.5,0.01,0.1,1.32
1485,NEED FOR SPEED UNDERGROUND RIVALS,PSP,2005.0,Racing,Electronic Arts,0.69,0.38,0.02,0.24,1.32
1486,LEGO BATMAN: THE VIDEOGAME,PS3,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.42,0.0,0.19,1.32
1487,DARK SOULS II,PS3,2014.0,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32
1488,WORLD OF WARCRAFT: WRATH OF THE LICH KING,PC,2008.0,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32
1489,KINGDOM HEARTS II,PS3,2014.0,Role-Playing,Square Enix,0.52,0.43,0.18,0.19,1.32
1490,THE LEGO MOVIE VIDEOGAME,X360,2014.0,Action,Warner Bros. Interactive Entertainment,0.69,0.52,0.0,0.11,1.32
1491,TOCA 2: TOURING CARS,PS,1998.0,Racing,Codemasters,0.03,1.16,0.02,0.11,1.32
1492,GYROMITE,NES,1985.0,Puzzle,Nintendo,0.73,0.16,0.4,0.03,1.32
1493,NFL 2K3,PS2,2002.0,Sports,Atari,1.06,0.08,0.0,0.18,1.32
1494,FIGHTING FORCE,PS,1997.0,Fighting,Eidos Interactive,0.73,0.5,0.0,0.09,1.32
1495,MEGA MAN BATTLE NETWORK 4: RED SUN / BLUE MOON,GBA,2003.0,Role-Playing,Capcom,0.31,0.04,0.96,0.01,1.32
1496,MAG: MASSIVE ACTION GAME,PS3,2010.0,Shooter,Sony Computer Entertainment,0.77,0.3,0.09,0.16,1.32
1497,MADDEN NFL 97,PS,1996.0,Sports,Electronic Arts,0.73,0.5,0.0,0.09,1.32
1498,CARS 2,DS,2011.0,Racing,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32
1499,SKYLANDERS GIANTS,X360,2012.0,Action,Activision,0.75,0.45,0.0,0.11,1.32
1500,LEGO BATMAN: THE VIDEOGAME,PSP,,Action,Warner Bros. Interactive Entertainment,0.57,0.46,0.0,0.28,1.32
1501,TNN MOTOR SPORTS HARDCORE 4X4,PS,1996.0,Racing,ASC Games,0.73,0.5,0.0,0.09,1.31
1502,IHRA DRAG RACING 2,PS2,2002.0,Racing,Bethesda Softworks,0.64,0.5,0.0,0.17,1.31
1503,THE BEATLES: ROCK BAND,X360,2009.0,Misc,MTV Games,0.97,0.23,0.0,0.11,1.31
1504,TEKKEN 6,X360,2009.0,Fighting,Namco Bandai Games,0.71,0.42,0.05,0.13,1.31
1505,[PROTOTYPE],X360,2009.0,Action,Activision,0.84,0.35,0.0,0.12,1.31
1506,DEAL OR NO DEAL,Wii,2009.0,Misc,Zoo Games,1.22,0.0,0.0,0.09,1.31
1507,MADAGASCAR,PS2,2005.0,Platform,Activision,0.78,0.45,0.0,0.07,1.31
1508,RUGRATS STUDIO TOUR,PS,1999.0,Adventure,THQ,0.57,0.67,0.0,0.07,1.31
1509,LEGO BATTLES,DS,2009.0,Strategy,Warner Bros. Interactive Entertainment,0.81,0.38,0.0,0.12,1.31
1510,PITFALL II: LOST CAVERNS,2600,1983.0,Platform,Activision,1.22,0.07,0.0,0.02,1.31
1511,TUROK: EVOLUTION,PS2,2002.0,Shooter,Acclaim Entertainment,0.64,0.5,0.0,0.17,1.31
1512,HIGH SCHOOL MUSICAL 3: SENIOR YEAR DANCE!,Wii,2008.0,Misc,Disney Interactive Studios,0.68,0.49,0.0,0.13,1.31
1513,GOLD'S GYM: CARDIO WORKOUT,Wii,2008.0,Sports,Ubisoft,1.11,0.04,0.06,0.09,1.31
1514,BURNOUT 3: TAKEDOWN,XB,2004.0,Racing,Electronic Arts,0.84,0.43,0.0,0.04,1.31
1515,ADVENTURE,2600,,Adventure,Atari,1.21,0.08,0.0,0.01,1.3
1516,YU-GI-OH! THE SACRED CARDS,GBA,2002.0,Role-Playing,Konami Digital Entertainment,0.94,0.35,0.0,0.02,1.3
1517,CRYSIS 2,PS3,2011.0,Action,Electronic Arts,0.45,0.57,0.06,0.21,1.3
1518,NBA LIVE 07,PS2,2006.0,Sports,Electronic Arts,1.07,0.04,0.02,0.17,1.3
1519,SAINTS ROW IV,PS3,2013.0,Action,Deep Silver,0.56,0.44,0.09,0.21,1.3
1520,SINGSTAR '80S,PS2,2005.0,Misc,Sony Computer Entertainment,0.27,0.02,0.0,1.02,1.3
1521,EA PLAYGROUND,Wii,2007.0,Sports,Electronic Arts,0.69,0.48,0.0,0.13,1.3
1522,TEST DRIVE 5,PS,1997.0,Racing,Accolade,1.05,0.2,0.0,0.05,1.3
1523,ROMANCING SAGA 3,SNES,1995.0,Role-Playing,SquareSoft,0.0,0.0,1.29,0.01,1.3
1524,EA SPORTS ACTIVE 2,Wii,2010.0,Sports,Electronic Arts,0.78,0.4,0.0,0.11,1.3
1525,DIGIMON WORLD,PS,1999.0,Role-Playing,Namco Bandai Games,0.56,0.38,0.28,0.08,1.3
1526,RISE OF THE TOMB RAIDER,XOne,2015.0,Adventure,Square Enix,0.53,0.64,0.02,0.1,1.3
1527,NEED FOR SPEED CARBON,Wii,2006.0,Racing,Electronic Arts,0.46,0.66,0.02,0.15,1.29
1528,YOSHI'S WOOLLY WORLD,WiiU,2015.0,Platform,Nintendo,0.61,0.47,0.11,0.1,1.29
1529,MEGA MAN BATTLE NETWORK 3 BLUE / WHITE VERSION,GBA,2002.0,Role-Playing,Capcom,0.39,0.02,0.85,0.03,1.29
1530,FIFA STREET,PS3,2012.0,Sports,Electronic Arts,0.11,0.92,0.0,0.25,1.29
1531,RESIDENT EVIL ZERO,GC,2002.0,Action,Capcom,0.54,0.27,0.45,0.04,1.29
1532,NEED FOR SPEED: MOST WANTED,X360,2005.0,Racing,Electronic Arts,1.0,0.17,0.02,0.1,1.29
1533,TOM CLANCY'S RAINBOW SIX: SIEGE,XOne,2015.0,Shooter,Ubisoft,0.73,0.44,0.0,0.12,1.29
1534,PIRATES OF THE CARIBBEAN: THE CURSE OF THE BLACK PEARL,GBA,2003.0,Platform,TDK Mediactive,0.93,0.34,0.0,0.02,1.29
1535,TRANSFORMERS,PS2,2004.0,Shooter,Atari,0.63,0.49,0.0,0.16,1.29
1536,GUITAR HERO: AEROSMITH,Wii,2008.0,Misc,Activision,1.04,0.14,0.0,0.1,1.29
1537,MYSTERY CASE FILES: MILLIONHEIR,DS,2008.0,Adventure,Nintendo,0.76,0.4,0.0,0.12,1.29
1538,VALKYRIA CHRONICLES,PS3,2008.0,Role-Playing,Sega,0.71,0.2,0.24,0.13,1.29
1539,MIDNIGHT CLUB 3: DUB EDITION (AMERICA WEEKLY SALES),PS2,2005.0,Racing,Take-Two Interactive,1.22,0.05,0.0,0.01,1.29
1540,CHAMPIONS OF NORRATH,PS2,2004.0,Role-Playing,Sony Online Entertainment,0.63,0.49,0.0,0.16,1.28
1541,WATCH DOGS,X360,2014.0,Action,Ubisoft,0.72,0.45,0.01,0.11,1.28
1542,IMAGINE: WEDDING DESIGNER,DS,2008.0,Simulation,Ubisoft,0.55,0.59,0.0,0.14,1.28
1543,METAL GEAR SOLID V: GROUND ZEROES,PS4,2014.0,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28
1544,YAKUMAN,GB,1989.0,Misc,Nintendo,0.0,0.0,1.28,0.0,1.28
1545,ASSASSIN'S CREED SYNDICATE,XOne,2015.0,Action,Ubisoft,0.61,0.56,0.0,0.11,1.28
1546,ARMY MEN 3D,PS,1999.0,Action,3DO,1.1,0.14,0.0,0.04,1.28
1547,WWE '13,X360,2012.0,Action,THQ,0.72,0.45,0.0,0.11,1.28
1548,TWISTED METAL 4,PS,1999.0,Racing,989 Studios,1.07,0.16,0.0,0.04,1.28
1549,MANHUNT,PS2,2003.0,Action,Take-Two Interactive,0.63,0.49,0.0,0.16,1.28
1550,KID ICARUS: UPRISING,3DS,2012.0,Action,Nintendo,0.48,0.35,0.36,0.07,1.28
1551,SILENT HILL 2,PS2,2001.0,Action,Konami Digital Entertainment,0.62,0.49,0.0,0.16,1.28
1552,TOMB RAIDER: UNDERWORLD,PS3,2008.0,Action,Eidos Interactive,0.45,0.56,0.05,0.22,1.27
1553,CASTLEVANIA: SYMPHONY OF THE NIGHT,PS,1997.0,Platform,Konami Digital Entertainment,0.58,0.4,0.21,0.08,1.27
1554,THE SIMS 2: NIGHTLIFE,PC,2005.0,Simulation,Electronic Arts,1.22,0.05,0.0,0.0,1.27
1555,LEGO BATMAN: THE VIDEOGAME,PS2,2008.0,Action,Warner Bros. Interactive Entertainment,0.72,0.03,0.0,0.52,1.27
1556,ROAD RASH,PS,1995.0,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27
1557,POKEMON MYSTERY DUNGEON: GATES TO INFINITY,3DS,2012.0,Role-Playing,Nintendo,0.44,0.3,0.47,0.06,1.27
1558,ATLANTIS,2600,1981.0,Shooter,Imagic,1.18,0.08,0.0,0.01,1.27
1559,NBA 2K9,X360,2008.0,Sports,Take-Two Interactive,1.0,0.16,0.0,0.11,1.27
1560,WWE '12,X360,2011.0,Fighting,THQ,0.74,0.4,0.0,0.12,1.27
1561,TONY HAWK'S UNDERGROUND,XB,2003.0,Sports,Activision,0.85,0.37,0.0,0.05,1.27
1562,HOGAN'S ALLEY,NES,1984.0,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
1563,THE ELDER SCROLLS ONLINE,XOne,2015.0,Role-Playing,Bethesda Softworks,0.77,0.38,0.0,0.12,1.27
1564,JILLIAN MICHAELS' FITNESS ULTIMATUM 2009,Wii,2008.0,Sports,Deep Silver,0.96,0.2,0.0,0.11,1.27
1565,.HACK//INFECTION PART 1,PS2,2002.0,Role-Playing,Atari,0.49,0.38,0.26,0.13,1.27
1566,ROCKSTAR GAMES PRESENTS TABLE TENNIS,Wii,2007.0,Sports,Take-Two Interactive,0.39,0.73,0.0,0.15,1.27
1567,SONIC ADVENTURE DX: DIRECTOR'S CUT,GC,2003.0,Platform,Sega,0.87,0.3,0.06,0.03,1.27
1568,JET LI: RISE TO HONOR,PS2,2004.0,Action,Sony Computer Entertainment,0.62,0.48,0.0,0.16,1.27
1569,BATTLE ARENA TOSHINDEN,PS,1994.0,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27
1570,YOKAI WATCH 3,3DS,2016.0,Action,Level 5,0.0,0.0,1.27,0.0,1.27
1571,KUNG FU PANDA,DS,2008.0,Action,Activision,0.56,0.57,0.0,0.14,1.26
1572,TAMAGOTCHI CONNECTION: CORNER SHOP,DS,2005.0,Simulation,Atari,0.1,0.02,1.12,0.01,1.26
1573,FOOTBALL MANAGER 2011,PC,2010.0,Sports,Sega,0.0,1.01,0.0,0.25,1.26
1574,DEVIL DICE,PS,1998.0,Puzzle,THQ,0.05,0.03,1.1,0.08,1.26
1575,FINAL FANTASY IV,DS,2007.0,Simulation,Square Enix,0.54,0.05,0.62,0.05,1.26
1576,HYRULE WARRIORS,WiiU,2014.0,Action,Nintendo,0.61,0.42,0.13,0.1,1.26
1577,NEED FOR SPEED CARBON,PS3,2006.0,Racing,Electronic Arts,0.49,0.52,0.03,0.21,1.26
1578,CHAMPIONSHIP MANAGER 03/04,PC,2003.0,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26
1579,BRIAN LARA CRICKET,PS,1998.0,Sports,Codemasters,0.02,1.13,0.01,0.1,1.26
1580,RATATOUILLE,DS,2007.0,Action,THQ,0.5,0.62,0.0,0.14,1.26
1581,WHEEL OF FORTUNE,PS,1998.0,Misc,Hasbro Interactive,0.99,0.22,0.0,0.04,1.26
1582,LEGO THE LORD OF THE RINGS,X360,2012.0,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26
1583,WINTER SPORTS: THE ULTIMATE CHALLENGE,Wii,2007.0,Sports,RTL,0.45,0.68,0.0,0.12,1.26
1584,SOCOM: U.S. NAVY SEALS CONFRONTATION,PS3,2008.0,Shooter,Sony Computer Entertainment,0.94,0.17,0.02,0.13,1.25
1585,NBA LIVE 2001,PS,2000.0,Sports,Electronic Arts,0.7,0.47,0.0,0.08,1.25
1586,STAR WARS: THE FORCE UNLEASHED,PS2,2008.0,Action,LucasArts,0.49,0.0,0.01,0.75,1.25
1587,COMBAT,2600,,Action,Atari,1.17,0.07,0.0,0.01,1.25
1588,TOM CLANCY'S RAINBOW SIX: VEGAS,PS3,2007.0,Shooter,Ubisoft,0.47,0.53,0.03,0.22,1.25
1589,DRAGON BALL: DAIMAOU FUKKATSU,NES,1988.0,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
1590,GEGEGE NO KITAROU 2: YOUKAI GUNDAN NO CHOUSEN,NES,1987.0,Role-Playing,Namco Bandai Games,0.0,0.0,1.25,0.0,1.25
1591,REEL FISHING,PS,1996.0,Sports,Natsume,0.99,0.13,0.1,0.04,1.25
1592,INJUSTICE: GODS AMONG US,PS3,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
1593,POKEMON XD: GALE OF DARKNESS,GC,2005.0,Role-Playing,Nintendo,0.71,0.19,0.31,0.03,1.25
1594,BLACK,PS2,2006.0,Shooter,Electronic Arts,1.01,0.04,0.03,0.16,1.25
1595,ROLLERCOASTER TYCOON 2,PC,2002.0,Strategy,Atari,1.19,0.05,0.0,0.0,1.25
1596,LARA CROFT TOMB RAIDER: THE ANGEL OF DARKNESS,PS2,2003.0,Action,Eidos Interactive,0.61,0.48,0.0,0.16,1.25
1597,TOM CLANCY'S SPLINTER CELL: PANDORA TOMORROW,PS2,2004.0,Action,Ubisoft,0.52,0.56,0.0,0.17,1.25
1598,ROAD RASH 3D,PS,1998.0,Racing,Electronic Arts,1.05,0.16,0.0,0.04,1.25
1599,RATCHET: DEADLOCKED,PS2,2005.0,Shooter,Sony Computer Entertainment,0.85,0.03,0.22,0.14,1.24
1600,BALDUR'S GATE: DARK ALLIANCE,PS2,2001.0,Role-Playing,Virgin Interactive,0.61,0.48,0.0,0.16,1.24
1601,TRANSFORMERS: AUTOBOTS / DECEPTICONS,DS,2007.0,Action,Activision,1.12,0.03,0.0,0.09,1.24
1602,TALES OF XILLIA,PS3,2011.0,Role-Playing,Namco Bandai Games,0.29,0.19,0.67,0.09,1.24
1603,DIDDY KONG RACING DS,DS,2007.0,Racing,Nintendo,1.1,0.04,0.0,0.1,1.24
1604,[PROTOTYPE],PS3,2009.0,Action,Activision,0.65,0.41,0.0,0.19,1.24
1605,ASSASSIN'S CREED: BLOODLINES,PSP,2009.0,Action,Ubisoft,0.43,0.48,0.05,0.28,1.24
1606,ODDWORLD: ABE'S ODDYSEE,PS,1997.0,Platform,GT Interactive,0.75,0.44,0.0,0.06,1.24
1607,THE WITCHER 3: WILD HUNT,XOne,2015.0,Role-Playing,Namco Bandai Games,0.66,0.47,0.0,0.11,1.24
1608,RIDGE RACER V,PS2,2000.0,Action,Namco Bandai Games,0.24,0.19,0.75,0.06,1.24
1609,WWE SMACKDOWN VS. RAW 2009,PS2,2008.0,Fighting,THQ,0.69,0.0,0.0,0.55,1.24
1610,TETRIS 2 (ALL REGION SALES),GB,1992.0,Puzzle,Nintendo,0.56,0.22,0.43,0.03,1.24
1611,STAR WARS EPISODE III: REVENGE OF THE SITH,XB,2005.0,Action,Activision,0.82,0.38,0.0,0.04,1.24
1612,BEN 10: PROTECTOR OF EARTH,Wii,2007.0,Action,D3Publisher,0.55,0.55,0.0,0.13,1.23
1613,FROGGER: THE GREAT QUEST,PS2,2001.0,Platform,Konami Digital Entertainment,0.6,0.47,0.0,0.16,1.23
1614,2010 FIFA WORLD CUP SOUTH AFRICA,PS3,2010.0,Sports,Electronic Arts,0.3,0.64,0.07,0.22,1.23
1615,NINJA GAIDEN,XB,2004.0,Action,Microsoft Game Studios,0.92,0.2,0.07,0.04,1.23
1616,CRASH BANDICOOT: THE WRATH OF CORTEX,XB,2002.0,Platform,Universal Interactive,0.59,0.57,0.0,0.07,1.23
1617,DRIV3R,PS2,2004.0,Racing,Atari,0.6,0.47,0.0,0.16,1.23
1618,DISNEY'S TARZAN / DISNEY'S ALADDIN IN NASIRA'S REVENGE / DISNEY'S THE EMPEROR'S NEW GROOVE ACTION GAME,PS,2003.0,Misc,Sony Computer Entertainment,0.69,0.47,0.0,0.08,1.23
1619,FARMING SIMULATOR 2015,PC,2014.0,Simulation,Focus Home Interactive,0.08,1.02,0.0,0.13,1.23
1620,GUITAR HERO: AEROSMITH,X360,2008.0,Misc,Activision,1.0,0.14,0.0,0.1,1.23
1621,MEDAL OF HONOR: AIRBORNE,PS3,2007.0,Shooter,Electronic Arts,0.25,0.7,0.03,0.25,1.23
1622,KIRBY TILT 'N' TUMBLE,GB,2000.0,Puzzle,Nintendo,0.29,0.17,0.75,0.02,1.23
1623,SPONGEBOB SQUAREPANTS: BATTLE FOR BIKINI BOTTOM,GBA,2003.0,Platform,THQ,0.88,0.33,0.0,0.02,1.23
1624,VIGILANTE 8,PS,1998.0,Racing,Activision,0.68,0.47,0.0,0.08,1.23
1625,CASTLEVANIA,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
1626,DONKEY KONG COUNTRY 2,GBA,2004.0,Platform,Nintendo,0.79,0.27,0.12,0.04,1.23
1627,BAYONETTA,PS3,2009.0,Action,Sega,0.44,0.41,0.21,0.17,1.23
1628,"WARIOWARE, INC.: MEGA MICROGAME$",GBA,2003.0,Puzzle,Nintendo,0.4,0.11,0.7,0.02,1.23
1629,STAR WARS: BATTLEFRONT II,PSP,2005.0,Shooter,LucasArts,1.05,0.06,0.01,0.11,1.23
1630,MADDEN NFL 17,PS4,2016.0,Sports,Electronic Arts,0.92,0.08,0.0,0.23,1.23
1631,BOOM BLOX,Wii,2008.0,Puzzle,Electronic Arts,0.72,0.38,0.0,0.12,1.23
1632,FALLOUT 4,PC,2015.0,Role-Playing,Bethesda Softworks,0.5,0.63,0.0,0.1,1.23
1633,THE SIMS 2: CASTAWAY,Wii,2007.0,Simulation,Electronic Arts,0.45,0.64,0.0,0.14,1.23
1634,LEGO BATMAN 2: DC SUPER HEROES,PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.5,0.53,0.0,0.2,1.22
1635,NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 2,PS3,2010.0,Fighting,Namco Bandai Games,0.42,0.47,0.15,0.18,1.22
1636,MARIO POWER TENNIS,GC,2004.0,Sports,Nintendo,0.58,0.16,0.46,0.03,1.22
1637,INTELLIGENT QUBE,PS,1997.0,Puzzle,Sony Computer Entertainment,0.13,0.07,1.0,0.02,1.22
1638,GAME & WATCH GALLERY 2,GB,1997.0,Misc,Nintendo,0.76,0.3,0.12,0.04,1.22
1639,GAME & WATCH GALLERY 3,GB,1999.0,Misc,Nintendo,0.79,0.31,0.08,0.04,1.22
1640,PAC-MAN,NES,1984.0,Puzzle,Namco Bandai Games,0.27,0.08,0.85,0.02,1.22
1641,PARFAIT: CHOCOLAT SECOND STYLE,PS2,2006.0,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
1642,F1 2011,PS3,2011.0,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22
1643,CARS,PSP,2006.0,Racing,THQ,0.72,0.29,0.0,0.21,1.22
1644,NBA LIVE 99,PS,1997.0,Sports,Electronic Arts,1.13,0.05,0.0,0.03,1.22
1645,CHOCOBO NO FUSHIGI DUNGEON,PS,1997.0,Role-Playing,SquareSoft,0.0,0.0,1.14,0.08,1.22
1646,GOLDEN SUN: THE LOST AGE,GBA,2002.0,Role-Playing,Nintendo,0.61,0.27,0.27,0.07,1.22
1647,SIMCITY 2000,PS,1996.0,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22
1648,MAX PAYNE,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
1649,WCW MAYHEM,PS,1998.0,Fighting,Electronic Arts,0.68,0.46,0.0,0.08,1.22
1650,NBA 2K2,PS2,2002.0,Sports,Sega,0.59,0.46,0.01,0.15,1.22
1651,NASCAR THUNDER 2003,PS2,,Racing,Unknown,0.6,0.46,0.0,0.16,1.22
1652,SUPER STREET FIGHTER IV: 3D EDITION,3DS,2011.0,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22
